r,dmax,b,h,d,ad,ro,row,fy,fyw,fc,V,MF,M,Author                                       ,,r=replacement ratio 
15,19,150,300,250,2,2.14,0,420,0,22.56,55.5,1,27.75,Gonzále-Fonteboa and Martíne-Abella (2007)  ,,
0,19,150,300,250,2,2.14,0,420,0,23.04,60,1,30,Gonzále-Fonteboa and Martíne-Abella (2007)  ,,
30,19,150,300,250,2,2.14,0,420,0,24.72,62.5,1,31.25, Etxeberria et al. (2007),,
100,19,206,306,260,2,1.9,0,457,0,23.2,55,1,28.6, Etxeberria et al. (2007),,
50,19,206,306,260,2,1.9,0,457,0,25.2,58.9,1,30.63, Etxeberria et al. (2007),,
50,20,150,340,300,2,0.68,0.25,420,250,42.3,56.67,0,34, Etxeberria et al. (2007),,
70,20,150,340,300,2,0.68,0.25,420,250,43.7,59.17,0,35.5, Etxeberria et al. (2007),,
100,20,150,340,300,2,0.68,0.25,420,250,43.5,56.67,0,34, Etxeberria et al. (2007),,
100,20,150,340,300,2,0.89,0.25,420,250,43.5,67.33,0,40.4, Etxeberria et al. (2007),,
100,20,150,340,300,2,1.13,0.25,420,250,43.5,80.67,0,48.4, Etxeberria et al. (2007),,
25,19,150,300,265,1.5,1.1,0,423,0,20,182,1,72.35, Etxeberria et al. (2007),,
50,19,150,300,265,1.5,1.1,0,423,0,20,189.8,1,75.45,Ajdukiewicz and Kliszczewicz (2007),,
30,19,150,300,250,1,2.14,0,420,0,21.44,41.5,1,10.38,Ajdukiewicz and Kliszczewicz (2007),,
